Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
51,Peak Fitness Co,Social Media,Men 35-44,30 days,Google Ads,0.078,"$6,842.02",5.68,Miami,Mandarin,659,4616,9,Foodies,06/01/2022
52,TechCorp,Email,Women 35-44,15 days,Website,0.0973,"$2,231.47",4.98,New York,Mandarin,890,4987,4,Health & Fitness,06/01/2022
53,NovaWorks,Email,All Ages,15 days,YouTube,0.0802,"$12,786.44",4.03,Miami,Mandarin,674,4913,6,Outdoor Adventurers,06/01/2022
54,Alpha Innovations,Email,All Ages,30 days,YouTube,0.0706,"$2,616.19",5.19,New York,German,277,5564,3,Outdoor Adventurers,06/01/2022
55,Crestline Brands,Social Media,All Ages,15 days,YouTube,0.0694,"$12,084.31",4.94,Miami,French,621,5872,3,Tech Enthusiasts,06/01/2022
56,TechCorp,Display,Women 35-44,60 days,Website,0.0538,"$13,734.07",5.81,Los Angeles,Spanish,408,5932,5,Health & Fitness,06/01/2022
57,Alpha Innovations,Influencer,Women 18-24,60 days,Google Ads,0.0772,"$7,681.23",4.92,New York,English,330,4955,4,Tech Enthusiasts,06/01/2022
58,TechCorp,Influencer,Men 25-34,45 days,YouTube,0.0639,"$12,706.97",5.36,Houston,English,379,5035,2,Tech Enthusiasts,06/01/2022
59,TechCorp,Influencer,All Ages,60 days,Website,0.0723,"$9,756.27",5.17,New York,Mandarin,646,6326,8,Tech Enthusiasts,06/01/2022
60,Peak Fitness Co,Search,Men 18-24,60 days,Google Ads,0.0601,"$1,815.40",5.24,Chicago,French,425,6039,3,Foodies,07/01/2022
61,Bright Retail,Search,Men 25-34,15 days,Instagram,0.057,"$5,368.20",5.27,New York,English,203,6211,1,Fashionistas,07/01/2022
62,TechCorp,Social Media,Women 35-44,30 days,Email,0.0662,"$15,051.30",5.28,New York,French,705,5404,9,Foodies,07/01/2022
63,TechCorp,Display,All Ages,60 days,Website,0.0646,"$8,401.55",5.8,New York,German,587,5283,8,Outdoor Adventurers,07/01/2022
64,Crestline Brands,Social Media,Men 25-34,60 days,Website,0.0978,"$18,961.42",5.41,Miami,Mandarin,798,5227,2,Tech Enthusiasts,08/01/2022
65,Vertex Media,Search,Women 18-24,15 days,Website,0.0802,"$7,916.15",6,Los Angeles,Mandarin,511,5607,4,Health & Fitness,08/01/2022
66,Peak Fitness Co,Display,Men 18-24,15 days,Instagram,0.0642,"$18,917.67",4.71,Houston,German,343,5232,2,Outdoor Adventurers,08/01/2022
67,Peak Fitness Co,Search,Men 25-34,15 days,YouTube,0.0719,"$3,265.82",5.52,Chicago,German,393,5408,7,Foodies,08/01/2022
68,TechCorp,Search,Women 35-44,60 days,Google Ads,0.0976,"$11,649.06",5.25,Chicago,English,611,5067,10,Foodies,08/01/2022
69,Crestline Brands,Influencer,Women 25-34,60 days,Website,0.0731,"$11,971.79",4.59,Houston,Mandarin,759,6400,10,Foodies,08/01/2022
70,Alpha Innovations,Search,Men 25-34,60 days,Instagram,0.0699,"$17,250.51",5.15,Miami,French,270,4828,10,Fashionistas,08/01/2022
71,Peak Fitness Co,Display,Women 18-24,60 days,YouTube,0.0778,"$5,879.07",4.89,Chicago,Mandarin,767,4849,8,Outdoor Adventurers,08/01/2022
72,Peak Fitness Co,Influencer,Women 35-44,60 days,Website,0.0855,"$12,792.60",5.83,Houston,French,762,4552,7,Outdoor Adventurers,08/01/2022
73,NovaWorks,Display,Women 18-24,30 days,Website,0.0887,"$2,764.64",4.39,Houston,German,641,6197,9,Foodies,08/01/2022
74,Alpha Innovations,Social Media,Men 25-34,60 days,Website,0.0662,"$13,003.97",5.79,Los Angeles,Mandarin,220,5804,10,Foodies,08/01/2022
75,Vertex Media,Social Media,Women 18-24,45 days,Website,0.0894,"$10,850.09",5.37,New York,Mandarin,550,6377,8,Health & Fitness,08/01/2022
76,Peak Fitness Co,Search,Women 35-44,45 days,Instagram,0.0563,"$16,325.79",5.04,Los Angeles,Spanish,626,5085,7,Foodies,09/01/2022
77,Crestline Brands,Email,Women 35-44,60 days,Email,0.067,"$14,411.28",4.29,Miami,Mandarin,849,4900,9,Fashionistas,09/01/2022
78,Vertex Media,Search,Women 35-44,45 days,Google Ads,0.0691,"$6,932.13",5.07,Chicago,French,513,6060,2,Health & Fitness,09/01/2022
79,NovaWorks,Search,All Ages,60 days,YouTube,0.1038,"$15,700.94",4.75,New York,English,515,6451,4,Fashionistas,09/01/2022
80,Peak Fitness Co,Search,Women 35-44,60 days,Google Ads,0.0682,"$10,358.49",5.58,Los Angeles,Mandarin,749,6136,8,Foodies,09/01/2022
81,TechCorp,Social Media,Men 25-34,60 days,Google Ads,0.0836,"$16,625.27",4.33,Chicago,Spanish,557,5488,7,Health & Fitness,09/01/2022
82,TechCorp,Search,Men 18-24,30 days,YouTube,0.0797,"$10,039.92",5.48,Chicago,German,332,5601,10,Tech Enthusiasts,10/01/2022
83,Bright Retail,Search,Men 25-34,45 days,Instagram,0.0679,"$6,992.76",5,Los Angeles,Spanish,451,5178,9,Fashionistas,10/01/2022
84,Vertex Media,Influencer,Men 35-44,45 days,Email,0.0789,"$5,323.80",5.33,Los Angeles,Spanish,645,5013,6,Health & Fitness,10/01/2022
85,Alpha Innovations,Social Media,All Ages,60 days,Google Ads,0.0616,"$7,235.61",5.96,Chicago,Spanish,807,4684,8,Health & Fitness,10/01/2022
86,Bright Retail,Search,Women 35-44,30 days,Google Ads,0.0586,"$1,991.88",4.68,Chicago,Mandarin,660,4853,10,Tech Enthusiasts,10/01/2022
87,Alpha Innovations,Social Media,All Ages,15 days,Email,0.0556,"$12,800.55",5.79,Miami,English,752,6312,7,Foodies,10/01/2022
88,Alpha Innovations,Search,Men 25-34,45 days,Google Ads,0.0571,"$16,658.48",4.61,Houston,French,705,4642,3,Health & Fitness,10/01/2022
89,NovaWorks,Social Media,Women 18-24,15 days,Instagram,0.077,"$19,180.92",5.27,Los Angeles,German,434,4677,1,Fashionistas,10/01/2022
90,Crestline Brands,Influencer,Men 25-34,60 days,Email,0.05,"$14,816.49",4.2,Chicago,English,378,6256,8,Tech Enthusiasts,10/01/2022
91,Alpha Innovations,Email,Women 35-44,15 days,YouTube,0.0905,"$19,697.01",5.38,Miami,English,221,5827,4,Health & Fitness,10/01/2022
92,TechCorp,Display,Men 18-24,45 days,Website,0.0772,"$17,696.38",5.37,Chicago,English,752,5862,9,Foodies,10/01/2022
93,NovaWorks,Email,All Ages,45 days,Email,0.0563,"$10,490.83",5.01,Houston,German,344,5609,9,Foodies,11/01/2022
94,TechCorp,Search,Men 25-34,45 days,Instagram,0.0753,"$1,483.54",4.98,New York,Spanish,757,5156,2,Fashionistas,11/01/2022
95,Peak Fitness Co,Display,Women 18-24,45 days,Website,0.0524,"$16,384.55",5.24,Los Angeles,English,671,4958,2,Health & Fitness,11/01/2022
96,Bright Retail,Display,Men 25-34,15 days,Website,0.0628,"$12,737.92",5.02,Los Angeles,French,263,5421,5,Outdoor Adventurers,11/01/2022
97,NovaWorks,Display,Women 25-34,15 days,Instagram,0.0784,"$7,443.43",4.82,Chicago,German,880,4777,1,Outdoor Adventurers,11/01/2022
98,Peak Fitness Co,Social Media,All Ages,15 days,Google Ads,0.0601,"$1,275.98",5.17,Los Angeles,Spanish,290,6011,6,Foodies,11/01/2022
99,Crestline Brands,Display,Men 25-34,60 days,Website,0.0817,"$1,233.92",5.62,Los Angeles,Mandarin,481,5449,6,Foodies,11/01/2022
100,NovaWorks,Search,Men 18-24,45 days,Google Ads,0.0766,"$2,736.29",5.14,New York,German,668,4863,1,Tech Enthusiasts,11/01/2022
101,Alpha Innovations,Email,Women 35-44,15 days,Google Ads,0.0812,"$8,491.66",4.89,New York,Spanish,428,4617,6,Outdoor Adventurers,11/01/2022
102,Peak Fitness Co,Search,Men 25-34,30 days,Website,0.075,"$10,677.28",4.83,Miami,Mandarin,829,6098,9,Fashionistas,11/01/2022
103,Alpha Innovations,Email,Women 25-34,60 days,Email,0.068,"$18,406.47",5.82,Los Angeles,Spanish,656,6104,2,Outdoor Adventurers,11/01/2022
104,Bright Retail,Influencer,Women 35-44,45 days,Website,0.0537,"$8,311.19",4.88,New York,French,257,5345,1,Tech Enthusiasts,11/01/2022
105,Alpha Innovations,Display,Women 25-34,15 days,Google Ads,0.0536,"$15,306.94",4.84,Miami,English,245,5821,9,Tech Enthusiasts,11/01/2022
106,Crestline Brands,Social Media,Women 25-34,60 days,Website,0.0946,"$18,338.38",4.42,Houston,Mandarin,558,5832,2,Outdoor Adventurers,11/01/2022
107,NovaWorks,Display,Women 25-34,30 days,Google Ads,0.078,"$13,830.84",3.94,Miami,Spanish,410,6118,8,Outdoor Adventurers,12/01/2022
108,Peak Fitness Co,Display,Women 18-24,60 days,Google Ads,0.0752,"$15,299.70",4.33,Los Angeles,Spanish,748,4985,7,Fashionistas,12/01/2022
109,Bright Retail,Email,Men 18-24,60 days,Email,0.055,"$1,239.58",4.65,Los Angeles,English,516,4923,5,Foodies,12/01/2022
110,TechCorp,Email,Women 35-44,15 days,Email,0.0445,"$1,375.65",5.81,Los Angeles,Mandarin,392,6430,6,Foodies,12/01/2022
111,Crestline Brands,Email,Women 18-24,45 days,Website,0.0463,"$14,338.51",4.72,Miami,English,610,5155,2,Foodies,12/01/2022
112,Bright Retail,Social Media,Men 25-34,15 days,Website,0.0722,"$3,867.16",5.38,Chicago,Mandarin,279,4559,10,Foodies,12/01/2022
113,Bright Retail,Search,Women 18-24,15 days,Website,0.0559,"$9,816.12",4.26,Houston,English,667,5901,9,Health & Fitness,12/01/2022
114,Bright Retail,Social Media,Men 18-24,60 days,Email,0.0629,"$12,472.59",4.72,Miami,Spanish,760,6029,9,Foodies,12/01/2022
115,NovaWorks,Social Media,Men 18-24,30 days,Instagram,0.0609,"$1,149.59",3.43,Houston,English,485,5964,7,Health & Fitness,12/01/2022
116,Crestline Brands,Email,Women 18-24,15 days,Instagram,0.1045,"$10,262.70",5.21,Los Angeles,German,848,6236,3,Foodies,12/01/2022
117,Crestline Brands,Social Media,All Ages,15 days,Email,0.0729,"$4,468.41",5.48,Miami,French,286,4924,8,Tech Enthusiasts,12/01/2022
118,Crestline Brands,Social Media,Men 18-24,60 days,Google Ads,0.0862,"$15,871.99",5.72,Los Angeles,Spanish,763,4510,2,Foodies,13/01/2022
119,Vertex Media,Search,Women 18-24,60 days,YouTube,0.0834,"$14,601.30",4.7,New York,English,828,4823,10,Tech Enthusiasts,13/01/2022
120,Crestline Brands,Search,All Ages,30 days,Website,0.0745,"$3,087.47",4.34,Houston,English,388,4773,1,Tech Enthusiasts,13/01/2022
121,NovaWorks,Search,Women 35-44,15 days,YouTube,0.0777,"$8,336.86",5.17,Los Angeles,French,584,5337,6,Outdoor Adventurers,13/01/2022
122,Alpha Innovations,Search,All Ages,45 days,Email,0.0661,"$1,746.32",4.65,Chicago,French,502,5188,10,Foodies,13/01/2022
123,Crestline Brands,Search,Women 35-44,15 days,Website,0.0769,"$6,885.45",4.66,Los Angeles,English,355,5360,4,Foodies,13/01/2022
124,Crestline Brands,Display,Women 35-44,60 days,YouTube,0.0592,"$7,913.62",5.2,Miami,Mandarin,726,6010,7,Tech Enthusiasts,13/01/2022
125,TechCorp,Influencer,All Ages,60 days,YouTube,0.0826,"$9,073.13",5.01,Chicago,French,352,5910,9,Health & Fitness,13/01/2022
126,Peak Fitness Co,Search,Women 25-34,60 days,Instagram,0.0606,"$16,512.47",4.79,Houston,Spanish,620,4626,4,Outdoor Adventurers,13/01/2022
127,Alpha Innovations,Social Media,Women 35-44,45 days,Website,0.076,"$14,418.85",4.76,Houston,German,857,5779,8,Outdoor Adventurers,13/01/2022
128,Crestline Brands,Search,Women 35-44,45 days,Email,0.0548,"$6,624.10",4.72,Los Angeles,Mandarin,618,5257,2,Health & Fitness,13/01/2022
129,TechCorp,Search,All Ages,60 days,Google Ads,0.0981,"$15,385.05",5.76,Chicago,Spanish,705,4512,5,Outdoor Adventurers,13/01/2022
130,TechCorp,Social Media,Women 18-24,45 days,Google Ads,0.0681,"$18,769.24",5.28,Miami,Mandarin,666,6073,8,Tech Enthusiasts,14/01/2022
131,Crestline Brands,Display,All Ages,30 days,Google Ads,0.0522,"$11,507.47",4.86,Chicago,Spanish,360,4747,10,Outdoor Adventurers,14/01/2022
132,Crestline Brands,Display,Women 25-34,60 days,Website,0.0461,"$3,640.03",5.23,Chicago,Mandarin,660,4755,3,Outdoor Adventurers,14/01/2022
133,Vertex Media,Search,Men 35-44,30 days,Website,0.0686,"$7,915.11",5.13,New York,English,828,6209,7,Outdoor Adventurers,14/01/2022
134,Crestline Brands,Email,Men 35-44,45 days,Instagram,0.056,"$8,756.34",4.84,New York,English,249,4995,6,Outdoor Adventurers,14/01/2022
135,Crestline Brands,Influencer,Men 18-24,15 days,Instagram,0.0595,"$1,943.55",4.4,Houston,English,708,6395,4,Health & Fitness,14/01/2022
136,NovaWorks,Social Media,Women 18-24,60 days,Google Ads,0.1104,"$10,846.69",5.52,Los Angeles,German,379,5748,6,Foodies,14/01/2022
137,NovaWorks,Email,Men 18-24,45 days,YouTube,0.0698,"$6,394.71",4.56,Los Angeles,German,389,6038,9,Outdoor Adventurers,14/01/2022
138,TechCorp,Email,Men 25-34,45 days,Website,0.0546,"$8,539.02",4.41,Miami,German,414,5891,9,Tech Enthusiasts,14/01/2022
139,Vertex Media,Email,All Ages,15 days,Instagram,0.1038,"$14,160.66",5.84,Miami,English,293,4626,7,Health & Fitness,14/01/2022
140,Vertex Media,Email,Men 25-34,30 days,YouTube,0.0315,"$6,503.10",5.56,Los Angeles,English,893,5929,3,Foodies,14/01/2022
141,TechCorp,Influencer,Women 35-44,45 days,Google Ads,0.0733,$958.91,4.52,Houston,Mandarin,202,4711,3,Fashionistas,14/01/2022
142,TechCorp,Search,Men 35-44,60 days,Email,0.0556,"$8,882.17",5.56,Houston,Spanish,428,4880,7,Fashionistas,14/01/2022
143,Vertex Media,Email,Women 25-34,45 days,Website,0.0733,"$13,435.05",5.15,New York,Spanish,799,5785,3,Fashionistas,14/01/2022
144,Peak Fitness Co,Email,Men 18-24,60 days,Instagram,0.0534,"$17,414.27",5.28,Los Angeles,Spanish,302,6114,6,Tech Enthusiasts,14/01/2022
145,TechCorp,Influencer,Men 25-34,45 days,YouTube,0.0578,"$13,187.07",5.5,Chicago,Spanish,627,4999,5,Foodies,14/01/2022
146,Crestline Brands,Influencer,All Ages,45 days,Google Ads,0.0602,"$16,127.22",4.84,Los Angeles,Spanish,250,4561,1,Fashionistas,15/01/2022
147,Vertex Media,Email,Women 35-44,15 days,Google Ads,0.0715,"$10,048.53",5.64,Los Angeles,German,356,6413,1,Fashionistas,15/01/2022
148,Crestline Brands,Influencer,All Ages,45 days,Email,0.073,"$7,123.11",6.39,Chicago,Spanish,550,4540,7,Fashionistas,15/01/2022
149,Vertex Media,Social Media,Women 25-34,60 days,Google Ads,0.0797,"$9,075.77",4.97,Chicago,German,871,5675,2,Foodies,15/01/2022
150,NovaWorks,Email,Men 35-44,15 days,Email,0.0653,"$19,394.35",4.6,Miami,French,641,6309,10,Health & Fitness,15/01/2022
151,NovaWorks,Display,Men 25-34,15 days,Instagram,0.0715,"$3,878.73",4.79,Los Angeles,German,411,5875,9,Foodies,15/01/2022
152,Peak Fitness Co,Email,Women 18-24,45 days,Email,0.059,"$5,672.33",6.08,Chicago,French,391,5296,7,Outdoor Adventurers,15/01/2022
153,Peak Fitness Co,Influencer,Women 18-24,60 days,Email,0.0798,"$5,742.73",5.06,Miami,English,300,4934,6,Health & Fitness,15/01/2022
154,Peak Fitness Co,Display,Women 25-34,15 days,Google Ads,0.07,"$1,448.29",5.47,Houston,Mandarin,458,6212,9,Outdoor Adventurers,15/01/2022
155,Peak Fitness Co,Influencer,Men 25-34,30 days,Website,0.0435,"$8,129.66",4.4,Houston,French,603,5046,,Foodies,16/01/2022
156,TechCorp,Email,Men 35-44,30 days,Instagram,0.0438,"$17,277.09",4.44,Los Angeles,English,263,6413,6,Foodies,16/01/2022
157,Bright Retail,Influencer,All Ages,45 days,Website,0.0901,"$11,837.13",5.96,Houston,German,770,5045,2,Fashionistas,16/01/2022
158,NovaWorks,Influencer,Women 35-44,15 days,Email,0.0914,"$9,710.77",4.61,New York,Mandarin,528,4545,5,Health & Fitness,16/01/2022
159,Vertex Media,Search,Men 35-44,30 days,Google Ads,0.0871,"$7,785.39",5.63,Los Angeles,English,683,6260,6,Foodies,16/01/2022
160,TechCorp,Social Media,Men 18-24,15 days,Email,0.0427,"$4,366.01",5.81,Houston,English,254,4945,5,Health & Fitness,16/01/2022
161,TechCorp,Influencer,Women 18-24,45 days,Email,0.0744,"$19,711.90",4.6,New York,English,287,5114,3,Tech Enthusiasts,16/01/2022
162,TechCorp,Social Media,Men 25-34,30 days,Google Ads,0.0863,"$17,099.15",5.4,Miami,French,338,5143,3,Foodies,16/01/2022
163,Bright Retail,Email,Women 25-34,45 days,Instagram,0.0768,"$13,166.25",4.21,Miami,Mandarin,340,5971,8,Outdoor Adventurers,16/01/2022
164,TechCorp,Email,Women 35-44,45 days,Google Ads,0.0953,"$1,265.59",5.34,Miami,French,768,5849,5,Tech Enthusiasts,16/01/2022
165,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.0801,$916.25,5.8,New York,Spanish,650,5568,10,Health & Fitness,16/01/2022
166,Bright Retail,Influencer,Women 35-44,60 days,Website,0.0507,"$12,820.33",3.07,Chicago,French,698,5585,8,Tech Enthusiasts,16/01/2022
167,Bright Retail,Influencer,Men 18-24,15 days,Instagram,0.0862,"$17,726.53",4.16,Houston,German,753,6007,10,Outdoor Adventurers,16/01/2022
168,Peak Fitness Co,Display,Women 25-34,30 days,Google Ads,0.0472,"$10,813.17",4.94,Houston,Spanish,585,4971,8,Outdoor Adventurers,16/01/2022
169,TechCorp,Social Media,Men 35-44,15 days,Website,0.0742,"$6,705.91",4.61,New York,Mandarin,535,4755,5,Fashionistas,16/01/2022
170,Alpha Innovations,Social Media,Men 35-44,60 days,Website,0.0717,"$1,009.03",4.09,Houston,French,716,5670,6,Fashionistas,16/01/2022
171,Vertex Media,Social Media,Women 18-24,30 days,Email,0.0807,"$2,858.50",3.99,New York,Mandarin,220,6323,10,Foodies,16/01/2022
172,Bright Retail,Social Media,Women 25-34,30 days,Instagram,0.0866,"$8,288.10",4.34,Miami,French,547,5248,6,Fashionistas,17/01/2022
173,Vertex Media,Social Media,Men 18-24,15 days,Email,0.0949,"$17,074.11",4.62,New York,English,537,4766,4,Foodies,17/01/2022
174,NovaWorks,Email,Men 25-34,45 days,Email,0.0745,"$9,580.53",4.6,Houston,English,283,5112,9,Outdoor Adventurers,17/01/2022
175,Crestline Brands,Social Media,All Ages,45 days,Instagram,0.0734,"$8,658.79",4.08,Los Angeles,Mandarin,484,6032,7,Outdoor Adventurers,17/01/2022
176,Crestline Brands,Search,Women 18-24,15 days,Google Ads,0.0624,"$12,590.78",5.96,New York,English,848,5037,3,Fashionistas,17/01/2022
177,Peak Fitness Co,Search,Men 18-24,60 days,Email,0.0716,"$8,358.37",5.47,New York,English,836,4725,2,Tech Enthusiasts,17/01/2022
178,NovaWorks,Search,Men 18-24,45 days,Email,0.0491,"$19,190.87",5,Miami,Spanish,731,5741,8,Fashionistas,17/01/2022
179,Alpha Innovations,Search,All Ages,45 days,Instagram,0.0552,"$2,278.94",4.95,Miami,German,420,5428,2,Tech Enthusiasts,17/01/2022
180,NovaWorks,Social Media,Men 18-24,60 days,Email,0.0648,"$5,040.05",4.61,Los Angeles,Mandarin,667,5136,4,Health & Fitness,17/01/2022
181,Vertex Media,Search,All Ages,60 days,Website,0.0671,"$19,705.60",3.74,Miami,English,307,5281,6,Outdoor Adventurers,17/01/2022
182,Alpha Innovations,Display,Men 18-24,15 days,Website,0.0927,"$10,942.43",4.83,Los Angeles,German,848,6100,3,Fashionistas,18/01/2022
